Qubit_ID,Readout_Error,Category,Normalized_Error,Percentile
50,0.004760742,Category_B,0.5866923571999159,46.15384615384615
51,0.002929688,Category_A,0.3610415264217862,8.974358974358974
52,0.004516602,Category_B,0.5566056454884247,41.66666666666667
53,0.013793945,Category_D,1.6999035249412788,92.94871794871796
54,0.002685547,Category_A,0.33095469147480844,5.128205128205128
55,0.004272461,Category_B,0.5265188105414471,38.46153846153847
56,0.005371094,Category_C,0.6619093829496169,51.92307692307693
57,0.003417969,Category_B,0.42121507308025496,19.230769230769234
58,0.003662109,Category_B,0.4513017847917461,24.358974358974358
59,0.008300781,Category_C,1.0229507861359164,82.05128205128204
60,0.007202148,Category_C,0.8875602137277466,75.64102564102564
61,0.007324219,Category_C,0.9026036928189788,77.56410256410257
62,0.003051758,Category_B,0.3760848822775317,12.179487179487179
63,0.003173828,Category_B,0.39112823813327724,14.743589743589745
64,0.016113281,Category_D,1.985728025613364,95.51282051282051
65,0.01574707,Category_D,1.9405978348106405,94.87179487179486
66,0.004638672,Category_B,0.5716490013441703,43.58974358974359
67,0.002197266,Category_A,0.2707811448163396,2.564102564102564
68,0.004516602,Category_B,0.5566056454884247,41.66666666666667
69,0.004760742,Category_B,0.5866923571999159,46.15384615384615
70,0.00378418,Category_B,0.46634526388297826,29.48717948717949
71,0.003540039,Category_B,0.43625842893600053,21.794871794871796
72,0.00378418,Category_B,0.46634526388297826,29.48717948717949
73,0.003295898,Category_B,0.40617159398902275,17.94871794871795
74,0.005859375,Category_C,0.7220829296080857,58.97435897435898
75,0.002929688,Category_A,0.3610415264217862,8.974358974358974
76,0.005981445,Category_C,0.7371262854638313,60.256410256410255
77,0.005737305,Category_C,0.7070395737523402,55.769230769230774
78,0.005493164,Category_C,0.6769527388053624,53.205128205128204
79,0.003662109,Category_B,0.4513017847917461,24.358974358974358
80,0.003662109,Category_B,0.4513017847917461,24.358974358974358
81,0.003662109,Category_B,0.4513017847917461,24.358974358974358
82,0.003540039,Category_B,0.43625842893600053,21.794871794871796
83,0.007202148,Category_C,0.8875602137277466,75.64102564102564
84,0.00378418,Category_B,0.46634526388297826,29.48717948717949
85,0.189941406,Category_E,23.407521603986574,99.35897435897436
86,0.004394531,Category_B,0.5415621663971926,40.38461538461539
87,0.006225586,Category_C,0.7672131204108089,63.46153846153846
88,0.010864258,Category_D,1.3388621217549792,89.1025641025641
89,0.005615234,Category_C,0.691996094661108,54.48717948717948
90,0.006103516,Category_C,0.7521697645550633,60.89743589743589
91,0.003417969,Category_B,0.42121507308025496,19.230769230769234
92,0.007080078,Category_C,0.8725168578720011,74.35897435897436
93,0.012573242,Category_D,1.5494695966773635,92.3076923076923
94,0.005737305,Category_C,0.7070395737523402,55.769230769230774
95,0.003540039,Category_B,0.43625842893600053,21.794871794871796
96,0.005249023,Category_C,0.6468659038583847,50.0
97,0.006835938,Category_C,0.8424301461605099,69.87179487179486
98,0.008666992,Category_C,1.0680809769386397,83.97435897435898
99,0.007080078,Category_C,0.8725168578720011,74.35897435897436
100,0.004272461,Category_B,0.5265188105414471,38.46153846153847
101,0.006835938,Category_C,0.8424301461605099,69.87179487179486
